CD Marker,Gene Symbol
CD54,ICAM1
CD102,ICAM2
CD50,ICAM3
CD242,ICAM4
CD278,ICOS
CD275,ICOSLG
CD225,IFITM1
CD119,IFNGR1
CD221,IGF1R
CD222,IGF2R
CD179b,IGLL1
CD101,CD101
CD316,IGSF8
CD210a,IL10RA
CD210b,IL10RB
CD212,IL12RB1
CD213a1,IL13RA1
CD213a2,IL13RA2
CD215,IL15RA
CD217,IL17RA
CD218a,IL18R1
CD218b,IL18RAP
CD121a,IL1R1
CD121b,IL1R2
CD360,IL21R
CD25,IL2RA
CD122,IL2RB
CD132,IL2RG
CD123,IL3RA
CD124,IL4R
CD125,IL5RA
CD126,IL6R
CD130,IL6ST
CD127,IL7R
CD129,IL9R
CD220,INSR
CD49a,ITGA1
CD49b,ITGA2
CD41,ITGA2B
CD49c,ITGA3
CD49d,ITGA4
CD49e,ITGA5
CD49f,ITGA6
CD11d,ITGAD
CD103,ITGAE
CD11a,ITGAL
CD11b,ITGAM
CD51,ITGAV
CD11c,ITGAX
CD29,ITGB1
CD18,ITGB2
CD61,ITGB3
CD104,ITGB4
CD339,JAG1
CD322,JAM2
CD309,KDR
CD238,KEL
CD158a,KIR2DL1
CD158b1,KIR2DL2
CD158b2,KIR2DL3
CD158d,KIR2DL4
CD158f,KIR2DL5A
CD158h,KIR2DS1
CD158j,KIR2DS2
CD158i,KIR2DS4
CD158g,KIR2DS5
CD158e1,KIR3DL1
CD158k,KIR3DL2
CD158c,KIR3DP1
CD158e2,KIR3DS1
CD117,KIT
CD161,KLRB1
CD159a,KLRC1
CD159c,KLRC2
CD94,KLRD1
CD314,KLRK1
CD171,L1CAM
CD223,LAG3
CD305,LAIR1
CD306,LAIR2
CD107a,LAMP1
CD107b,LAMP2
CD208,LAMP3
CD295,LEPR
CD118,LIFR
CD85I,LILRA1
CD85H,LILRA2
CD85G,LILRA4
CD85M,LILRA5
CD85J,LILRB1
CD85D,LILRB2
CD85A,LILRB3
CD85K,LILRB4
CD85C,LILRB5
CD85B,LILRA6
CD91,LRP1
CD239,BCAM
CD205,LY75
CD229,LY9
CD146,MCAM
CD228,MELTF
CD10,MME
CD110,MPL
CD206,MRC1
CD280,MRC2
CD20,MS4A1
CD204,MSR1
CD136,MST1R
CD227,MUC1
CD56,NCAM1
CD335,NCR1
CD336,NCR2
CD337,NCR3
CD271,NGFR
CD304,NRP1
CD73,NT5E
CD279,PDCD1
CD273,PDCD1LG2
CD140a,PDGFRA
CD140b,PDGFRB
CD31,PECAM1
CD364,PI16
CD87,PLAUR
CD232,PLXNC1
CD230,PRNP
CD201,PROCR
CD133,PROM1
CD66f,PSG1
CD294,PTGDR2
CD315,PTGFRN
CD45,PTPRC
CD148,PTPRJ
CD155,PVR
CD111,NECTIN1
CD112,NECTIN2
CD113,NECTIN3
CD241,RHAG
CD240CE,RHCE
CD240D,RHD
CD363,S1PR1
CD138,SDC1
CD362,SDC2
CD62E,SELE
CD62L,SELL
CD62P,SELP
CD162,SELPLG
CD100,SEMA4D
CD108,SEMA7A
CD169,SIGLEC1
CD170,SIGLEC5
CD327,SIGLEC6
CD328,SIGLEC7
CD329,SIGLEC9
CD172a,SIRPA
CD172b,SIRPB1
CD172g,SIRPB2
CD150,SLAMF1
CD352,SLAMF6
CD319,SLAMF7
CD353,SLAMF8
CD98,SLC3A2
CD92,SLC44A1
CD233,SLC4A1
CD43,SPN
CD175,ST3GAL1
CD75s,ST6GAL1
CD175s,ST6GALNAC1
CD326,EPCAM
CD202b,TEK
CD71,TFRC
CD141,THBD
CD90,THY1
CD281,TLR1
CD290,TLR10
CD282,TLR2
CD283,TLR3
CD284,TLR4
CD286,TLR6
CD288,TLR8
CD289,TLR9
CD261,TNFRSF10A
CD262,TNFRSF10B
CD263,TNFRSF10C
CD264,TNFRSF10D
CD265,TNFRSF11A
CD266,TNFRSF12A
CD267,TNFRSF13B
CD268,TNFRSF13C
CD270,TNFRSF14
CD269,TNFRSF17
CD357,TNFRSF18
CD120a,TNFRSF1A
CD120b,TNFRSF1B
CD358,TNFRSF21
CD134,TNFRSF4
CD27,CD27
CD30,TNFRSF8
CD137,TNFRSF9
CD253,TNFSF10
CD254,TNFSF11
CD256,TNFSF13
CD257,TNFSF13B
CD258,TNFSF14
CD252,TNFSF4
CD70,CD70
CD153,TNFSF8
CD354,TREM1
CD231,TSPAN7
CD106,VCAM1
CD179a,VPREB1
